cancion,cantante,año,duracion_minutos,album,explicito
I'll Never Smile Again,Tommy Dorsey,1990,3.157766666666667,The Seventeen Number Ones,False
Only Forever - Single Version,Bing Crosby,1993,3.2006666666666668,Bing-His Legendary Years 1931-1957,False
Frenesi,Artie Shaw,1938,3.040216666666667,Ultimate Big Band Collection: Artie Shaw,False
Song of the Volga Boatmen - Remastered 2002,Glenn Miller,2005,3.4462166666666665,Jazz Moods - Hot,False
Amapola,Jimmy Dorsey,2010,3.441866666666667,The Great Jimmy Dorsey,False
Maria Elena - Remastered,Jimmy Dorsey,2018,3.0526833333333334,Imagination (Remastered),False
Daddy,Sammy Kaye,1990,2.93555,Best Of The Big Bands,False
Green Eyes - Remastered,Jimmy Dorsey,2018,3.3276166666666667,Imagination (Remastered),False
Blue Champagne - Remastered,Jimmy Dorsey,2018,3.0785666666666667,Imagination (Remastered),False
Piano Concerto in B-Flat (Tonight We Love),Freddy Martin & His Orchestra,1937,3.2317666666666667,Ultimate Big Band Collection: Great Theme Songs,False
Chattanooga Choo Choo,Glenn Miller,1996,3.4368833333333333,The Essential Glenn Miller,False
Elmer's Tune - 2002 Remastered,Glenn Miller,1996,3.11555,The Essential Glenn Miller,False
A String of Pearls,Glenn Miller,1980,3.2004333333333332,Pure Gold,False
Blues In The Night,Woody Herman & His Orchestra,2001,3.2517666666666667,Woody Herman's Finest Hour,False
Moonlight Cocktail - Remastered,Glenn Miller,1996,3.260666666666667,The Essential Glenn Miller,False
Tangerine - Remastered,Jimmy Dorsey,2018,3.1718,Imagination (Remastered),False
Sleepy Lagoon,Harry James,1990,2.914433333333333,Best Of The Big Bands,False
"(I Got Spurs That) Jingle, Jangle, Jingle",Kay Kyser & His Orchestra,1990,3.334433333333333,Best Of The Big Bands,False
There Are Such Things,Tommy Dorsey,1994,2.7371,The Song Is You,False
I Had The Craziest Dream,Harry James,1990,3.3848833333333332,Best Of The Big Bands,False
I've Heard That Song Before,Harry James,1990,2.9744333333333333,Best Of The Big Bands,False
That Old Black Magic,Glenn Miller,1991,3.06555,The Complete Glenn Miller and His Orchestra,False
Taking A Chance On Love - Rechanneled Stereo Version,Benny Goodman,2007,3.1346666666666665,The Essential Benny Goodman,False
Comin' In On A Wing And A Prayer,Four Vagabonds,1999,2.88435,Four Vagabonds Vol. 1 (1941-1951),False
You'll Never Know,Dick Haymes,1936,2.7542166666666668,Stardust,False
In The Blue of Evening - 1994 Remastered,Frank Sinatra,1994,2.9288833333333333,The Song Is You,False
"Sunday, Monday Or Always - Single Version",Bing Crosby,2008,2.542666666666667,Gold,False
