cancion,cantante,año,duracion_minutos,album,explicito
Johnny B. Goode,Chuck Berry,1959,2.6926666666666668,Berry Is On Top,False
We Belong Together,Ritchie Valens,1959,1.9437666666666666,Ritchie Valens,False
Beyond the Sea,Bobby Darin,1959,2.8746666666666667,That's All,False
I've Got a Woman,Ray Charles,1957,2.8577666666666666,"Ray Charles (aka: Hallelujah, I Love Her So)",False
Unforgettable,Nat King Cole,1954,3.19955,Unforgettable,False
Dream A Little Dream Of Me,Louis Armstrong,1968,3.280666666666667,What A Wonderful World,False
Great Balls Of Fire,Jerry Lee Lewis,1961,1.8589166666666668,Jerry Lee's Greatest,False
I Fall In Love Too Easily,Chet Baker,1956,3.3573333333333335,Chet Baker Sings,False
Jailhouse Rock,Elvis Presley,1958,2.441333333333333,Elvis' Golden Records,False
Blue Moon,Billie Holiday,1956,3.463766666666667,Solitude,False
La Bamba - Single Version,Ritchie Valens,1959,2.116,Ritchie Valens,False
Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,1958,3.0271,This Is Dean Martin,False
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,1956,3.7293333333333334,Songs For Swingin' Lovers! (Remastered),False
"Hallelujah, I Love Her So",Ray Charles,1957,2.5917666666666666,"Ray Charles (aka: Hallelujah, I Love Her So)",False
Everyday,Buddy Holly,1958,2.152,Buddy Holly,False
My Funny Valentine,Chet Baker,1956,2.3522166666666666,Chet Baker Sings,False
Tutti Frutti,Little Richard,1957,2.403766666666667,Here's Little Richard (Deluxe Edition),False
Blue Suede Shoes,Elvis Presley,1956,1.9866666666666666,Elvis Presley,False
I Only Have Eyes for You,The Flamingos,1959,3.37955,Flamingo Serenade,False
What A Diff'rence A Day Made,Dinah Washington,1959,2.5311,What A Diff'rence A Day Makes! (Expanded Edition),False
Fever,Peggy Lee,1958,3.3266666666666667,Things Are Swingin',False
Summertime,Ella Fitzgerald,1958,4.968883333333333,Porgy And Bess,False
Come Fly With Me - Remastered 1998,Frank Sinatra,1958,3.318216666666667,Come Fly With Me (Expanded Edition),False
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,2.1648833333333335,Rock Around The Clock,False
Smoke Gets In Your Eyes,The Platters,1959,2.6822166666666667,Remember When?,False
Banana Boat (Day-O),Harry Belafonte,1956,3.052216666666667,Calypso,False
Long Tall Sally (The Thing),Little Richard,1957,2.1237666666666666,Here's Little Richard (Deluxe Edition),False
Hound Dog,Elvis Presley,1958,2.2671,Elvis' Golden Records,False
Mannish Boy,Muddy Waters,1977,5.352216666666667,King Of The Electric Blues,False
Sh-Boom,The Chords,2022,2.4082166666666667,Life Could Be a Dream: The Sh-Boom Sound of The Chords,False
Cheek To Cheek,Ella Fitzgerald,1956,5.887766666666667,Ella and Louis,False
Pennies From Heaven,Louis Prima,1957,2.3611,The Call Of The Wildest (Expanded Edition),False
You Make Me Feel So Young - Remastered 1998,Frank Sinatra,1956,2.9566666666666666,Songs For Swingin' Lovers! (Remastered),False
Roll Over Beethoven,Chuck Berry,1959,2.41,Berry Is On Top,False
That's Amore,Dean Martin,1954,3.1733333333333333,"Dean Martin: The Capitol Recordings, Vol. 4 (1952-1954)",False
All I Have To Do Is Dream,The Everly Brothers,1957,2.3593333333333333,"The Cadence Years, Vol. 1",False
I'm Sorry,Brenda Lee,1960,2.6924333333333332,Brenda Lee,False
Only You (And You Alone),The Platters,1966,2.7744333333333335,I Love You 1000 Times,False
Summertime Blues,Eddie Cochran,1960,1.9893333333333334,12 Of His Biggest Hits,False
You Send Me,Sam Cooke,2022,2.724666666666667,A Cupid's Valentine,False
Oh! Carol,Neil Sedaka,1959,2.2577666666666665,Rock with Sedaka (Expanded Edition),False
Folsom Prison Blues,Johnny Cash,1960,2.8092333333333332,Sings Hank Williams,False
That'll Be The Day,Buddy Holly,1958,2.5022166666666665,That'll Be The Day,False
Smile,Nat King Cole,1961,2.887766666666667,The Nat King Cole Story,False
A Teenager In Love,Dion & The Belmonts,1959,2.63755,Presenting Dion And The Belmonts,False
Mack the Knife,Bobby Darin,1959,3.072216666666667,That's All,False
Blueberry Hill,Fats Domino,1959,2.4646666666666666,Fats Domino Swings,False
"What'd I Say, Pt. 1 & 2",Ray Charles,1959,5.11755,What'd I Say,False
"Good Golly, Miss Molly",Little Richard,1969,2.1522,Good Golly!,False
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,1956,2.994,Chet Baker Sings,False
April In Paris,Billie Holiday,1958,3.0931,All Or Nothing At All,False
Magic Moments,Perry Como,1993,2.6651,Today & Yesterday,False
Money (That's What I Want) - Single Version / Mono,Barrett Strong,2004,2.64155,The Collection,False
Teach Me Tonight,Dinah Washington,1988,2.79155,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",False
Put Your Head on My Shoulder,Paul Anka,1966,2.5846666666666667,Sings His Favorites,False
"Come On, Let's Go",Ritchie Valens,1959,2.076433333333333,Ritchie Valens,False
I Can't Stop Loving You,Ray Charles,2009,4.268666666666666,"Modern Sounds in Country and Western Music, Vols 1 & 2",False
Papa Loves Mambo,Perry Como,1975,2.701766666666667,Pure Gold,False
Twilight Time - Single Version,The Platters,1958,2.804883333333333,The Flying Platters Around The World,False
True Love Ways,Buddy Holly,2006,2.8051,The Definitive Collection,False
Earth Angel,The Penguins,1954,2.8511,Earth Angel,False
Mess Around,Ray Charles,1957,2.6704333333333334,"Ray Charles (aka: Hallelujah, I Love Her So)",False
Little Bitty Pretty One,Thurston Harris,1986,2.374216666666667,Little Bitty Pretty One,False
Dream Lover,Bobby Darin,2004,2.5117666666666665,The Ultimate Bobby Darin,False
C’Mon Everybody,Eddie Cochran,1960,1.9704333333333333,12 Of His Biggest Hits,False
Donna - Single Version,Ritchie Valens,1959,2.5162166666666668,Ritchie Valens,False
Lollipop,The Chordettes,1957,2.17555,The Chordettes' Best,False
"Shout, Pts. 1 & 2",The Isley Brothers,1959,4.476,Shout!,False
All Shook Up,Elvis Presley,1958,1.9513333333333334,Elvis' Golden Records,False
Ain't That A Shame,Fats Domino,1959,2.5366666666666666,Fats Domino Swings,False
My Funny Valentine - Remastered,Frank Sinatra,1954,2.5111,Songs For Young Lovers,False
The Great Pretender,The Platters,1986,2.6226666666666665,The Platters Golden Hits,False
Splish Splash,Bobby Darin,1958,2.195316666666667,Bobby Darin,False
Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,1957,3.7228833333333333,Day By Night (with Paul Weston & His Music From Hollywood),False
Rockin' Robin,Bobby Day,1958,2.668,Rockin' Robin,False
Peggy Sue,Buddy Holly,1958,2.516,Buddy Holly,False
Love Is Here To Stay - Remastered 1998,Frank Sinatra,1956,2.714,Songs For Swingin' Lovers! (Remastered),False
Reet Petite,Jackie Wilson,1958,2.820666666666667,He's So Fine,False
At The Hop,Danny & The Juniors,1983,2.5144333333333333,Rockin' With Danny And The Juniors (Expanded Edition),False
Wake up Little Susie,The Everly Brothers,1964,2.058666666666667,The Very Best of The Everly Brothers,False
Who's Sorry Now,Connie Francis,2005,2.2771,Gold,False
Heartbreak Hotel,Elvis Presley,1958,2.126,Elvis' Golden Records,False
I'm A Man,Bo Diddley,1958,2.7424333333333335,Bo Diddley,False
Sixteen Tons,Tennessee Ernie Ford,1997,2.6384333333333334,Vintage Collections,False
I Wonder Why,Dion & The Belmonts,1959,2.3564333333333334,Presenting Dion And The Belmonts,False
My Prayer,The Platters,1956,2.796666666666667,The Platters,False
Strange Fruit,Billie Holiday,1957,3.2144333333333335,Billie Holiday,False
Blue Suede Shoes,Carl Perkins,1957,2.24075,The Dance Album,False
Calendar Girl,Neil Sedaka,1959,2.66155,Rock with Sedaka (Expanded Edition),False
In The Still of the Night,The Five Satins,1993,3.1277666666666666,For Collectors Only,False
